id,parent
Java (general),Java
PHP (general),PHP
dotNet (general),dotNet
Python (general),Python
AngularJS,JavaScript
Django,Python
JSF,Java
Spring MVC,Java
WordPress,PHP
CodeIgniter,PHP
RoR,Ruby
CakePHP,PHP
Play,Java
Jersey,Java
Scala,Java
ReactJS,JavaScript
Joomla,PHP
Vaadin,Java
Struts,Java
DotNetNuke,dotNet
Drupal,PHP
GWT,Java
MeteorJS,JavaScript
TotalJS,JavaScript
Nooku,PHP
KoaJS,JavaScript
Grails,Java
Dropwizard,Java
Clojure,Java
Laravel,PHP
SocetIO,JavaScript
Symfony2,PHP
MeanJS,JavaScript
ExpressJS,JavaScript
Magento,PHP
Zend,Python
Phalcon,PHP
PloymerJS,JavaScript
Yii2,JavaScript
HapiJS,JavaScript
Java (general),Java
PHP (general),PHP
dotNet (general),dotNet
Python (general),Python
AngularJS,JavaScript
Django,Python
JSF,Java
Spring MVC,Java
WordPress,PHP
CodeIgniter,PHP
RoR,Ruby
CakePHP,PHP
Play,Java
Jersey,Java
Scala,Java
ReactJS,JavaScript
Joomla,PHP
Vaadin,Java
Struts,Java
DotNetNuke,dotNet
Drupal,PHP
GWT,Java
MeteorJS,JavaScript
TotalJS,JavaScript
Nooku,PHP
KoaJS,JavaScript
Grails,Java
Dropwizard,Java
Clojure,Java
Laravel,PHP
SocetIO,JavaScript
Symfony2,PHP
MeanJS,JavaScript
ExpressJS,JavaScript
Magento,PHP
Zend,Python
Phalcon,PHP
PloymerJS,JavaScript
Yii2,JavaScript
HapiJS,JavaScript
Java (general),Java
PHP (general),PHP
dotNet (general),dotNet
Python (general),Python
AngularJS,JavaScript
Django,Python
JSF,Java
Spring MVC,Java
WordPress,PHP
CodeIgniter,PHP
RoR,Ruby
CakePHP,PHP
Play,Java
Jersey,Java
Scala,Java
ReactJS,JavaScript
Joomla,PHP
Vaadin,Java
Struts,Java
DotNetNuke,dotNet