anly501-1,anly511-1,4
anly501-1,anly503-1,9
anly501-1,anly512-1,8
anly501-1,anly502-1,3
anly501-1,anly550-1,6
anly501-1,anly905-1,10
anly501-1,anly601-1,5
anly501-1,cosc579-1,5
anly501-1,cosc589-1,7
anly501-1,anly580-1,8
anly501-1,cosc544-1,3
anly501-1,anly570-1,3
anly511-1,anly503-1,4
anly511-1,anly512-1,10
anly511-1,anly520-1,6
anly511-1,anly550-1,6
anly511-1,anly561-1,8
anly511-1,anly905-1,9
anly511-1,anly601-1,9
anly511-1,math640-1,8
anly511-1,math611-1,7
anly511-1,math442-1,7
anly511-1,math657-1,8
anly511-1,cosc544-1,9
anly511-1,anly570-1,9
anly503-1,anly520-1,10
anly503-1,anly905-1,10
anly512-1,anly502-1,5
anly512-1,anly550-1,5
anly512-1,anly561-1,6
anly512-1,anly905-1,10
anly512-1,anly601-1,10
anly512-1,math611-1,8
anly512-1,math657-1,4
anly502-1,anly550-1,5
anly502-1,anly905-1,10
anly502-1,anly601-1,7
anly502-1,cosc589-1,8
anly502-1,anly580-1,8
anly502-1,cosc544-1,7
anly550-1,anly501-1,8
anly550-1,anly511-1,8
anly550-1,anly503-1,8
anly550-1,anly512-1,8
anly550-1,anly502-1,8
anly550-1,anly561-1,8
anly550-1,anly905-1,8
anly550-1,anly601-1,6
anly550-1,cosc579-1,5
anly550-1,cosc589-1,5
anly550-1,cosc531-1,7
anly550-1,cosc544-1,10
anly561-1,anly601-1,8
anly561-1,cosc579-1,5
anly561-1,cosc589-1,5
anly561-1,math640-1,6
anly561-1,math611-1,6
anly561-1,cosc544-1,8
anly601-1,cosc579-1,7
anly601-1,math611-1,6
cosc589-1,anly580-1,6
math640-1,math611-1,7
math640-1,math442-1,7
math640-1,math657-1,7
math611-1,math657-1,5